0 test f1,0 train f1,0 val f1,1 test f1,1 train f1,1 val f1,2 test f1,2 train f1,2 val f1,3 test f1,3 train f1,3 val f1,epoch,step,test cost,test multilabel_f1_macro,test ranking_avg_precision,train cost,train multilabel_f1_macro,train ranking_avg_precision,train_loss,val cost,val multilabel_f1_macro,val ranking_avg_precision,val_loss
,,0.715923547744751,,,0.6502463221549988,,,0.8631578683853149,,,0.38805970549583435,0,21,,,,,,,,3892.0,0.6543468832969666,0.6571256518363953,0.5820133686065674
,0.6497005820274353,,,0.6091414093971252,,,0.48767122626304626,,,0.18021005392074585,,0,21,,,,15863.0,0.48168081045150757,0.5215502381324768,0.6285814642906189,,,,
,,0.7063953280448914,,,0.6632302403450012,,,0.875,,,0.5864661931991577,1,43,,,,,,,,4392.0,0.7077729105949402,0.7217391133308411,0.5183312892913818
,0.6954545378684998,,,0.6560536026954651,,,0.7955056428909302,,,0.409033864736557,,1,43,,,,16908.0,0.6390119194984436,0.6858325600624084,0.5512628555297852,,,,
,,0.6942675113677979,,,0.6795490980148315,,,0.8842105269432068,,,0.7289719581604004,2,65,,,,,,,,4853.0,0.746749758720398,0.746618390083313,0.49476680159568787
,0.6934477090835571,,,0.6544342637062073,,,0.8369829654693604,,,0.6254826188087463,,2,65,,,,18167.0,0.7025868892669678,0.7237716317176819,0.5120595097541809,,,,
,,0.7219796180725098,,,0.6411657333374023,,,0.8842105269432068,,,0.8041236996650696,3,87,,,,,,,,4879.0,0.7628698945045471,0.7547101378440857,0.4735906720161438
,0.7080891132354736,,,0.6648769378662109,,,0.8493826985359192,,,0.747099757194519,,3,87,,,,19084.0,0.7423621416091919,0.7473741173744202,0.4829101860523224,,,,
,,0.700964629650116,,,0.6722407937049866,,,0.8936170339584351,,,0.8314606547355652,4,109,,,,,,,,5119.0,0.7745707631111145,0.7557970881462097,0.44983401894569397
,0.7184087634086609,,,0.6660541892051697,,,0.8700000047683716,,,0.8256410360336304,,4,109,,,,19640.0,0.7700259685516357,0.7657551765441895,0.45219460129737854,,,,
,,0.6837881207466125,,,0.6518010497093201,,,0.8913043737411499,,,0.8674699068069458,5,131,,,,,,,,5449.0,0.7735908627510071,0.7594202756881714,0.4246324598789215
,0.7315204739570618,,,0.6778868436813354,,,0.8607594966888428,,,0.8773841857910156,,5,131,,,,20355.0,0.7868877649307251,0.7734516263008118,0.4276932179927826,,,,
,,0.7451523542404175,,,0.6385542154312134,,,0.8913043737411499,,,0.8888888955116272,6,153,,,,,,,,5254.0,0.7909749746322632,0.7829710245132446,0.4109532833099365
,0.7282525300979614,,,0.676512598991394,,,0.8659793734550476,,,0.8767123222351074,,6,153,,,,20842.0,0.7868642210960388,0.7756247520446777,0.4071196913719177,,,,
,,0.6897637844085693,,,0.6631393432617188,,,0.8913043737411499,,,0.8974359035491943,7,175,,,,,,,,5819.0,0.7854108214378357,0.7655797004699707,0.3968539834022522
,0.7415902018547058,,,0.6914533972740173,,,0.8785529732704163,,,0.9008498787879944,,7,175,,,,21465.0,0.8031116127967834,0.7873958945274353,0.3857751786708832,,,,
,,0.7365517020225525,,,0.6204081773757935,,,0.8913043737411499,,,0.9066666960716248,8,197,,,,,,,,5401.0,0.7887327075004578,0.7731884121894836,0.374695748090744
,0.7497151494026184,,,0.6891891956329346,,,0.8733850121498108,,,0.9239766001701355,,8,197,,,,21727.0,0.8090664744377136,0.7931908965110779,0.3661893308162689,,,,
,,0.6698718070983887,,,0.6568265557289124,,,0.8913043737411499,,,0.8947368264198303,9,219,,,,,,,,5950.0,0.7781848907470703,0.747826099395752,0.37501317262649536
,0.7579261660575867,,,0.6916541457176208,,,0.8882978558540344,,,0.916167676448822,,9,219,,,,22266.0,0.8135114908218384,0.7944585084915161,0.34982234239578247,,,,
,,0.758269727230072,,,0.5714285969734192,,,0.8888888955116272,,,0.8947368264198303,10,241,,,,,,,,5267.0,0.7783309817314148,0.7782608866691589,0.37092724442481995
,0.7625739574432373,,,0.694556474685669,,,0.8941798806190491,,,0.9268292784690857,,10,241,,,,23046.0,0.8195348978042603,0.7992575168609619,0.33556830883026123,,,,
,,0.6856240034103394,,,0.6523297429084778,,,0.8913043737411499,,,0.9066666960716248,11,263,,,,,,,,6061.0,0.783981204032898,0.758695662021637,0.3484831750392914
,0.7596261501312256,,,0.7059990167617798,,,0.8960000276565552,,,0.9313432574272156,,11,263,,,,23289.0,0.8232421278953552,0.8025171756744385,0.3212798535823822,,,,
,,0.6786296963691711,,,0.6917808055877686,,,0.8913043737411499,,,0.8831169009208679,12,285,,,,,,,,6305.0,0.786207914352417,0.7692028880119324,0.3383702039718628
,0.7753596305847168,,,0.7105788588523865,,,0.8877005577087402,,,0.9422492384910583,,12,285,,,,23794.0,0.8289720416069031,0.8107569813728333,0.30421411991119385,,,,
,,0.7485875487327576,,,0.6492986083030701,,,0.8764045238494873,,,0.931506872177124,13,307,,,,,,,,5906.0,0.8014493584632874,0.7855072617530823,0.3285345435142517
,0.7840531468391418,,,0.7188577055931091,,,0.8840970396995544,,,0.9415384531021118,,13,307,,,,23965.0,0.8321365714073181,0.816461443901062,0.2961215078830719,,,,
,,0.7214076519012451,,,0.6550387740135193,,,0.8913043737411499,,,0.9189189076423645,14,329,,,,,,,,6031.0,0.7966673970222473,0.7768115997314453,0.32296666502952576
,0.7925082445144653,,,0.7314172387123108,,,0.9057591557502747,,,0.9473684430122375,,14,329,,,,24113.0,0.8442632555961609,0.8260594010353088,0.284967303276062,,,,
,,0.7407407164573669,,,0.6552380919456482,,,0.901098906993866,,,0.9066666960716248,15,351,,,,,,,,5938.0,0.8009361028671265,0.7880434989929199,0.3153685927391052
,0.81146639585495,,,0.7604525089263916,,,0.9032257795333862,,,0.9503105878829956,,15,351,,,,24953.0,0.856363832950592,0.8414523601531982,0.26731419563293457,,,,
,,0.6773675680160522,,,0.6723549365997314,,,0.8791208863258362,,,0.9189189076423645,16,373,,,,,,,,6588.0,0.7869405746459961,0.7644927501678467,0.3161352872848511
,0.8099780082702637,,,0.7404505610466003,,,0.8997290134429932,,,0.9629629850387573,,16,373,,,,25447.0,0.8532801270484924,0.8350235223770142,0.263494074344635,,,,
,,0.7690386772155762,,,0.5727923512458801,,,0.8636363744735718,,,0.9189189076423645,17,395,,,,,,,,5626.0,0.7810965776443481,0.7884057760238647,0.33066725730895996
,0.8103953003883362,,,0.7484970092773438,,,0.9042553305625916,,,0.9506173133850098,,17,395,,,,25979.0,0.8534412384033203,0.8370155692100525,0.25498080253601074,,,,
,,0.637837827205658,,,0.6944444179534912,,,0.8666666746139526,,,0.931506872177124,18,417,,,,,,,,6854.0,0.7826139330863953,0.7561594247817993,0.32622119784355164
,0.8168298602104187,,,0.7555555701255798,,,0.9086021780967712,,,0.940809965133667,,18,417,,,,26196.0,0.855449378490448,0.8427200317382812,0.24997571110725403,,,,
,,0.7503136992454529,,,0.5450236797332764,,,0.8636363744735718,,,0.931506872177124,19,439,,,,,,,,5622.0,0.7726201415061951,0.7721014618873596,0.34169068932533264
,0.8203636407852173,,,0.7608267664909363,,,0.9061661958694458,,,0.9592476487159729,,19,439,,,,26279.0,0.8616510629653931,0.8457986116409302,0.2391679435968399,,,,
,,0.7615283131599426,,,0.6293103694915771,,,0.8764045238494873,,,0.931506872177124,20,461,,,,,,,,6011.0,0.7996875047683716,0.7927536368370056,0.31406939029693604
,0.8247347474098206,,,0.7650219798088074,,,0.9144384860992432,,,0.949367105960846,,20,461,,,,26688.0,0.8633905649185181,0.8492394089698792,0.2322034239768982,,,,
,,0.6644295454025269,,,0.685245931148529,,,0.8636363744735718,,,0.9189189076423645,21,483,,,,,,,,6745.0,0.783057689666748,0.7583333253860474,0.3018052279949188
,0.8228403925895691,,,0.7723735570907593,,,0.9218328595161438,,,0.9622641801834106,,21,483,,,,27213.0,0.8698277473449707,0.8537667393684387,0.2265043407678604,,,,
,,0.7580853700637817,,,0.5841121673583984,,,0.8666666746139526,,,0.931506872177124,22,505,,,,,,,,5884.0,0.7850927710533142,0.7771739363670349,0.32618650794029236
,0.8304775953292847,,,0.7735665440559387,,,0.9100528955459595,,,0.9655172228813171,,22,505,,,,27560.0,0.869903564453125,0.8584752082824707,0.21914665400981903,,,,
,,0.6937500238418579,,,0.6847457885742188,,,0.8505747318267822,,,0.9014084339141846,23,527,,,,,,,,6623.0,0.7826197147369385,0.7771739363670349,0.3027917742729187
,0.8405691385269165,,,0.7922329902648926,,,0.9268292784690857,,,0.9719626307487488,,23,527,,,,27693.0,0.8828985095024109,0.8671677112579346,0.21179433166980743,,,,
,,0.7339181303977966,,,0.6641221642494202,,,0.8791208863258362,,,0.9189189076423645,24,549,,,,,,,,6341.0,0.799019992351532,0.7873188257217407,0.3053021728992462
,0.8505154848098755,,,0.7959673404693604,,,0.9389920234680176,,,0.9597523212432861,,24,549,,,,27830.0,0.8863068222999573,0.8712422847747803,0.20577648282051086,,,,
,,0.5433070659637451,,,0.6829268336296082,,,0.8791208863258362,,,0.9189189076423645,25,571,,,,,,,,7401.0,0.7560684084892273,0.730434775352478,0.3445967435836792
