0 train f1,0 val f1,1 train f1,1 val f1,2 train f1,2 val f1,3 train f1,3 val f1,epoch,step,train multilabel_f1_macro,train ranking_avg_precision,train_loss,val multilabel_f1_macro,val ranking_avg_precision,val_loss
,0.5814889073371887,,0.10579345375299454,,0.0,,0.0,0,172,,,,0.17182059586048126,0.45713600516319275,0.40461984276771545
0.249370276927948,,0.32723110914230347,,0.0,,0.009478673338890076,,0,172,0.14652001857757568,0.3636665642261505,0.4664768576622009,,,
,0.4117647111415863,,0.4503496587276459,,0.7868852615356445,,0.0,1,345,,,,0.412249892950058,0.4729406237602234,0.38122302293777466
0.4480000138282776,,0.4543589651584625,,0.49635037779808044,,0.0,,1,345,0.34967732429504395,0.4661354720592499,0.39459308981895447,,,
,0.5430463552474976,,0.5051813721656799,,0.8270676732063293,,0.42105263471603394,2,518,,,,0.5740870237350464,0.547174334526062,0.36063575744628906
0.5161592364311218,,0.5354838967323303,,0.794366180896759,,0.1894736886024475,,2,518,0.5088707804679871,0.5398406386375427,0.36664333939552307,,,
,0.5639344453811646,,0.5476477742195129,,0.8235294222831726,,0.6292135119438171,3,691,,,,0.6410812735557556,0.5833333134651184,0.34979385137557983
0.5604873895645142,,0.5539906024932861,,0.8359788656234741,,0.5666666626930237,,3,691,0.6292808651924133,0.5926294922828674,0.3483613431453705,,,
,0.5645514130592346,,0.5647348761558533,,0.8235294222831726,,0.7291666865348816,4,864,,,,0.6704955697059631,0.6075191497802734,0.3416390120983124
0.5783450603485107,,0.5899280309677124,,0.8520408272743225,,0.7304964661598206,,4,864,0.6877025961875916,0.628214418888092,0.3382335901260376,,,
,0.5698808431625366,,0.5678392052650452,,0.8057553768157959,,0.8073394298553467,5,1037,,,,0.6877037286758423,0.6216475367546082,0.3361241817474365
0.5947598218917847,,0.600089967250824,,0.8636363744735718,,0.7739726305007935,,5,1037,0.7081146836280823,0.6494929194450378,0.329999178647995,,,
,0.6261216402053833,,0.5242424011230469,,0.8137931227684021,,0.8073394298553467,6,1210,,,,0.6928741335868835,0.6376915574073792,0.32452237606048584
0.6172735095024109,,0.6060606241226196,,0.8659793734550476,,0.8157894611358643,,6,1210,0.7262757420539856,0.664523720741272,0.3232320547103882,,,
,0.587486743927002,,0.5806451439857483,,0.8169013857841492,,0.8037382960319519,7,1383,,,,0.697192907333374,0.6420019268989563,0.3284207582473755
0.6179822683334351,,0.6092057824134827,,0.8500000238418579,,0.8553459048271179,,7,1383,0.7331334948539734,0.6750271916389465,0.31941115856170654,,,
,0.573576807975769,,0.5934861302375793,,0.8169013857841492,,0.8448275923728943,8,1556,,,,0.7071979641914368,0.6443965435028076,0.3288024365901947
0.6242628693580627,,0.5946436524391174,,0.8643215894699097,,0.85161292552948,,8,1556,0.7337102293968201,0.6726729273796082,0.3171314299106598,,,
,0.5218390822410583,,0.6013363003730774,,0.8137931227684021,,0.8318583965301514,9,1729,,,,0.6922067403793335,0.6388888955116272,0.33558908104896545
0.6331950426101685,,0.60317462682724,,0.8556962013244629,,0.8544303774833679,,9,1729,0.7366240620613098,0.679192304611206,0.31303319334983826,,,
,0.7085514664649963,,0.57413250207901,,0.8082191944122314,,0.8392857313156128,10,1902,,,,0.7325472235679626,0.7013888955116272,0.3090992867946625
0.6258037090301514,,0.6232196688652039,,0.8549618124961853,,0.8834356069564819,,10,1902,0.7468551993370056,0.6867077350616455,0.3128650486469269,,,
,0.6647619009017944,,0.5867895483970642,,0.8082191944122314,,0.834782600402832,11,2075,,,,0.7236382961273193,0.6848658919334412,0.3109481930732727
0.6512778401374817,,0.6204738616943359,,0.8708860874176025,,0.8580441474914551,,11,2075,0.7501704692840576,0.699927568435669,0.30885598063468933,,,
,0.7035714387893677,,0.585949182510376,,0.8194444179534912,,0.8547008633613586,12,2248,,,,0.7409164905548096,0.7068965435028076,0.30839282274246216
0.6256366968154907,,0.6349625587463379,,0.8578553795814514,,0.873846173286438,,12,2248,0.7480751872062683,0.6912350654602051,0.30776387453079224,,,
,0.5827108025550842,,0.5880893468856812,,0.8082191944122314,,0.8448275923728943,13,2421,,,,0.7059617042541504,0.6554118990898132,0.32184600830078125
0.6442227959632874,,0.6183918118476868,,0.8600509166717529,,0.8730649948120117,,13,2421,0.7489326000213623,0.6954002380371094,0.3075036406517029,,,
,0.5346985459327698,,0.6125289797782898,,0.8082191944122314,,0.8468468189239502,14,2594,,,,0.7005733847618103,0.6518199443817139,0.32723015546798706
0.6508728265762329,,0.6243902444839478,,0.8708860874176025,,0.9069069027900696,,14,2594,0.763264000415802,0.7020101547241211,0.3052329123020172,,,
