epoch,step,test F1 Score,test_loss,training F1 Score_epoch,training F1 Score_step,training_loss_epoch,training_loss_step,validation F1 Score,validation_loss
0,4,,,,0.2428620457649231,,0.6815142035484314,,
0,9,,,,0.14081227779388428,,0.6282411813735962,,
0,14,,,,0.18282020092010498,,0.5808849334716797,,
0,19,,,,0.11233823746442795,,0.5404353737831116,,
0,24,,,,0.11584114283323288,,0.5067728161811829,,
0,29,,,,0.09014514833688736,,0.4839917719364166,,
0,34,,,,0.053401146084070206,,0.46588432788848877,,
0,34,,,,,,,0.10117315500974655,0.4540858268737793
0,34,,,0.15540294349193573,,0.5714925527572632,,,
1,39,,,,0.07769784331321716,,0.44158387184143066,,
1,44,,,,0.11267604678869247,,0.41621166467666626,,
1,49,,,,0.09132419526576996,,0.4111575782299042,,
1,54,,,,0.11822179704904556,,0.3884718716144562,,
1,59,,,,0.05991285666823387,,0.38862332701683044,,
1,64,,,,0.11958947032690048,,0.36451247334480286,,
1,69,,,,0.1865997314453125,,0.35385650396347046,,
1,69,,,,,,,0.14676505327224731,0.3646015226840973
1,69,,,0.102809377014637,,0.4008297920227051,,,
2,74,,,,0.23859262466430664,,0.35796135663986206,,
2,79,,,,0.2126002311706543,,0.34785303473472595,,
2,84,,,,0.20250366628170013,,0.3498934507369995,,
2,89,,,,0.19236618280410767,,0.35235336422920227,,
2,94,,,,0.1452493667602539,,0.33576738834381104,,
2,99,,,,0.0992647036910057,,0.3361443877220154,,
2,104,,,,0.1313018649816513,,0.3233950436115265,,
2,104,,,,,,,0.13192538917064667,0.3319641053676605
2,104,,,0.1861492246389389,,0.3438079059123993,,,
3,109,,,,0.2583427429199219,,0.3170149028301239,,
3,114,,,,0.22405877709388733,,0.3052300214767456,,
3,119,,,,0.13565373420715332,,0.3520687520503998,,
3,124,,,,0.20390070974826813,,0.3184892535209656,,
3,129,,,,0.1871395707130432,,0.31109368801116943,,
3,134,,,,0.17344172298908234,,0.31365323066711426,,
3,139,,,,0.14621177315711975,,0.3417196273803711,,
3,139,,,,,,,0.1567392647266388,0.316661536693573
3,139,,,0.19450229406356812,,0.32088929414749146,,,
4,144,,,,0.14399999380111694,,0.3183938264846802,,
4,149,,,,0.26997244358062744,,0.301432728767395,,
4,154,,,,0.26019418239593506,,0.2895444631576538,,
4,159,,,,0.20220588147640228,,0.30691736936569214,,
4,164,,,,0.19987021386623383,,0.3054810166358948,,
4,169,,,,0.22693924605846405,,0.3158036768436432,,
4,174,,,,0.23361241817474365,,0.30160555243492126,,
4,174,,,,,,,0.20729874074459076,0.30804094672203064
4,174,,,0.20255577564239502,,0.3088952302932739,,,
5,179,,,,0.1598721146583557,,0.3325106203556061,,
5,184,,,,0.2508178949356079,,0.2799931764602661,,
5,189,,,,0.18491484224796295,,0.2973489761352539,,
5,194,,,,0.22415459156036377,,0.3004443943500519,,
5,199,,,,0.17713364958763123,,0.31589823961257935,,
5,204,,,,0.26991093158721924,,0.3027860224246979,,
5,209,,,,0.2231040745973587,,0.3001618981361389,,
5,209,,,,,,,0.21678805351257324,0.3023635447025299
5,209,,,0.22952035069465637,,0.3014998137950897,,,
6,214,,,,0.2618585228919983,,0.3068449795246124,,
6,219,,,,0.1510714292526245,,0.3259216845035553,,
6,224,,,,0.1944035440683365,,0.3062998652458191,,
6,229,,,,0.31578946113586426,,0.2719612717628479,,
6,234,,,,0.2664995789527893,,0.28168177604675293,,
6,239,,,,0.30889034271240234,,0.2743401825428009,,
6,244,,,,0.23251047730445862,,0.3001773953437805,,
6,244,,,,,,,0.23200871050357819,0.2981240153312683
6,244,,,0.22643180191516876,,0.29658880829811096,,,
7,249,,,,0.2954755127429962,,0.2639840543270111,,
