0 test f1,0 train f1,0 val f1,1 test f1,1 train f1,1 val f1,2 test f1,2 train f1,2 val f1,3 test f1,3 train f1,3 val f1,epoch,step
,,0.6848922371864319,,,0.7091594934463501,,,0.9724577069282532,,,0.9812591075897217,0,172
,0.6307815313339233,,,0.6573589444160461,,,0.9523866176605225,,,0.9413265585899353,,0,172
,,0.6677814722061157,,,0.7140043377876282,,,0.9728298783302307,,,0.9838532209396362,1,345
,0.7039113640785217,,,0.6916540265083313,,,0.9801276326179504,,,0.9842002987861633,,1,345
,,0.7218400835990906,,,0.7500665783882141,,,0.9737125635147095,,,0.986481249332428,2,518
,0.709918737411499,,,0.7013460397720337,,,0.9805141091346741,,,0.9850451350212097,,2,518
,,0.7131758332252502,,,0.7317490577697754,,,0.9749356508255005,,,0.9873949289321899,3,691
,0.7159192562103271,,,0.7224746942520142,,,0.9814159870147705,,,0.9878266453742981,,3,691
,,0.6902653574943542,,,0.7104732394218445,,,0.9772965312004089,,,0.987497866153717,4,864
,0.7172777056694031,,,0.7113949656486511,,,0.9816819429397583,,,0.9877909421920776,,4,864
,,0.6918190717697144,,,0.7188736796379089,,,0.975095808506012,,,0.9863683581352234,5,1037
,0.7264139652252197,,,0.726218044757843,,,0.9836861491203308,,,0.9912348985671997,,5,1037
,,0.7274694442749023,,,0.7535786032676697,,,0.9785081148147583,,,0.9892438054084778,6,1210
,0.7280796766281128,,,0.7127264142036438,,,0.9837650060653687,,,0.9908307790756226,,6,1210
,,0.7087096571922302,,,0.7400578856468201,,,0.97686368227005,,,0.988315761089325,7,1383
,0.7305324077606201,,,0.7158113121986389,,,0.9838038086891174,,,0.9927161931991577,,7,1383
,,0.7321301698684692,,,0.754318356513977,,,0.9759772419929504,,,0.9892438054084778,8,1556
,0.7276106476783752,,,0.728416383266449,,,0.9830676317214966,,,0.991588294506073,,8,1556
,,0.7293236255645752,,,0.7545832991600037,,,0.9795542359352112,,,0.9892438054084778,9,1729
,0.7407190799713135,,,0.7362146377563477,,,0.9851692318916321,,,0.9905310273170471,,9,1729
,,0.7010642290115356,,,0.72648686170578,,,0.9759772419929504,,,0.9894212484359741,10,1902
,0.7383663058280945,,,0.7309892177581787,,,0.9845399856567383,,,0.9923626184463501,,10,1902
,,0.7144588232040405,,,0.7331455945968628,,,0.9759772419929504,,,0.9894212484359741,11,2075
,0.7407190799713135,,,0.7334212064743042,,,0.9845029711723328,,,0.9941890835762024,,11,2075
,,0.735188364982605,,,0.7431731820106506,,,0.975095808506012,,,0.9893341660499573,12,2248
,0.7368565797805786,,,0.7295732498168945,,,0.9848170280456543,,,0.9920748472213745,,12,2248
