epoch,step,test F1 Score,test_loss,training F1 Score_epoch,training F1 Score_step,training_loss_epoch,training_loss_step,validation F1 Score,validation_loss
0,49,,,,0.23671497404575348,,0.36929556727409363,,
0,99,,,,0.0,,0.30774328112602234,,
0,149,,,,0.0,,0.2899680733680725,,
0,199,,,,0.0,,0.2811535596847534,,
0,249,,,,0.0,,0.3153824806213379,,
0,278,,,,,,,0.1539531946182251,0.3054436147212982
0,278,,,0.07899429649114609,,0.35207805037498474,,,
1,299,,,,0.0,,0.2867335081100464,,
1,349,,,,0.09150326997041702,,0.30177605152130127,,
1,399,,,,0.3333333432674408,,0.23058754205703735,,
1,449,,,,0.3125,,0.22926165163516998,,
1,499,,,,0.2962963283061981,,0.2872353792190552,,
1,549,,,,0.312834233045578,,0.27146056294441223,,
1,557,,,,,,,0.2618923485279083,0.2741253972053528
1,557,,,0.22193226218223572,,0.29009491205215454,,,
2,599,,,,0.4901960790157318,,0.23410294950008392,,
2,649,,,,0.2708333432674408,,0.21747669577598572,,
2,699,,,,0.3181818127632141,,0.2613294720649719,,
2,749,,,,0.25,,0.2977413833141327,,
2,799,,,,0.38624337315559387,,0.2573818564414978,,
2,836,,,,,,,0.3534151613712311,0.2572057843208313
2,836,,,0.303591251373291,,0.2684118449687958,,,
3,849,,,,0.4264705777168274,,0.2179643213748932,,
3,899,,,,0.2923976480960846,,0.3035585880279541,,
3,949,,,,0.1894736886024475,,0.3347681164741516,,
3,999,,,,0.539215624332428,,0.22422969341278076,,
3,1049,,,,0.35087722539901733,,0.292735755443573,,
3,1099,,,,0.5745097994804382,,0.22159671783447266,,
3,1115,,,,,,,0.4140532910823822,0.2500481605529785
3,1115,,,0.35395002365112305,,0.25951969623565674,,,
4,1149,,,,0.385026752948761,,0.25417864322662354,,
4,1199,,,,0.31617647409439087,,0.2677437365055084,,
4,1249,,,,0.5291005373001099,,0.22747859358787537,,
4,1299,,,,0.6054750084877014,,0.2656731903553009,,
4,1349,,,,0.31016042828559875,,0.2603675127029419,,
4,1394,,,,,,,0.41036155819892883,0.2514745593070984
4,1394,,,0.3965468108654022,,0.25593245029449463,,,
5,1399,,,,0.4250626862049103,,0.314378559589386,,
5,1449,,,,0.2777777910232544,,0.296863853931427,,
5,1499,,,,0.49480968713760376,,0.23888719081878662,,
5,1549,,,,0.44633838534355164,,0.23435869812965393,,
5,1599,,,,0.5424836874008179,,0.23240484297275543,,
5,1649,,,,0.29411765933036804,,0.23910009860992432,,
5,1673,,,,,,,0.44315651059150696,0.2449067085981369
5,1673,,,0.4144040644168854,,0.2524926960468292,,,
6,1699,,,,0.6235294342041016,,0.24307002127170563,,
6,1749,,,,0.6770833730697632,,0.16703666746616364,,
6,1799,,,,0.4154411852359772,,0.26799315214157104,,
6,1849,,,,0.63722825050354,,0.21294474601745605,,
6,1899,,,,0.36554622650146484,,0.27552321553230286,,
6,1949,,,,0.7237851023674011,,0.1663910448551178,,
6,1952,,,,,,,0.43266502022743225,0.2474556267261505
6,1952,,,0.4177766740322113,,0.2494843751192093,,,
7,1999,,,,0.557539701461792,,0.25435107946395874,,
7,2049,,,,0.5547866225242615,,0.2304690182209015,,
7,2099,,,,0.6823529601097107,,0.2106456160545349,,
7,2149,,,,0.3541666567325592,,0.24824459850788116,,
7,2199,,,,0.2823529541492462,,0.3049241602420807,,
7,2231,,,,,,,0.44384264945983887,0.24094273149967194
7,2231,,,0.4395814836025238,,0.24676983058452606,,,
8,2249,,,,0.489705890417099,,0.23462757468223572,,
8,2299,,,,0.5789835453033447,,0.19121034443378448,,
