epoch,step,training F1 Score_epoch,training F1 Score_step,training_loss_epoch,training_loss_step,validation F1 Score,validation_loss
0,49,,0.23671497404575348,,0.3690825402736664,,
0,99,,0.0,,0.30153146386146545,,
0,149,,0.0,,0.2874629497528076,,
0,199,,0.3076923191547394,,0.27698320150375366,,
0,249,,0.0,,0.309711754322052,,
0,278,,,,,0.29081013798713684,0.29355165362358093
0,278,0.10169576853513718,,0.34875646233558655,,,
1,299,,0.0,,0.2786756753921509,,
1,349,,0.0,,0.27724093198776245,,
1,399,,0.0,,0.21267694234848022,,
1,449,,0.29807692766189575,,0.23539221286773682,,
1,499,,0.28265106678009033,,0.29214102029800415,,
1,549,,0.427335649728775,,0.278354287147522,,
1,557,,,,,0.1829809546470642,0.27254921197891235
1,557,0.21238546073436737,,0.28239062428474426,,,
2,599,,0.5910364389419556,,0.22693221271038055,,
2,649,,0.3303571343421936,,0.1943182647228241,,
2,699,,0.3181818127632141,,0.26056116819381714,,
2,749,,0.23931622505187988,,0.29794687032699585,,
2,799,,0.2936507761478424,,0.2610394358634949,,
2,836,,,,,0.34794777631759644,0.2556062638759613
2,836,0.3137286305427551,,0.2624969482421875,,,
3,849,,0.46078428626060486,,0.2117290496826172,,
3,899,,0.3888888955116272,,0.30983322858810425,,
3,949,,0.1894736886024475,,0.3059018850326538,,
3,999,,0.539215624332428,,0.19253674149513245,,
3,1049,,0.4385964870452881,,0.2929081916809082,,
3,1099,,0.5803921818733215,,0.20640218257904053,,
3,1115,,,,,0.43427932262420654,0.25294890999794006
3,1115,0.37342286109924316,,0.25148701667785645,,,
4,1149,,0.5058823823928833,,0.2128046452999115,,
4,1199,,0.36764705181121826,,0.2589775621891022,,
4,1249,,0.48976606130599976,,0.23636990785598755,,
4,1299,,0.6054750084877014,,0.2724163830280304,,
4,1349,,0.31016042828559875,,0.2403584122657776,,
4,1394,,,,,0.43908700346946716,0.24352338910102844
4,1394,0.4278126657009125,,0.24546003341674805,,,
5,1399,,0.3649123013019562,,0.29597461223602295,,
5,1449,,0.2977941036224365,,0.26950910687446594,,
5,1499,,0.6544891595840454,,0.22255095839500427,,
5,1549,,0.4375,,0.2223101556301117,,
5,1599,,0.5529412031173706,,0.22805514931678772,,
5,1649,,0.4470587968826294,,0.20871278643608093,,
5,1673,,,,,0.46529701352119446,0.24024468660354614
5,1673,0.45257648825645447,,0.23983655869960785,,,
6,1699,,0.6739495992660522,,0.22073417901992798,,
6,1749,,0.7647058963775635,,0.16234759986400604,,
6,1799,,0.375,,0.26678866147994995,,
6,1849,,0.5230263471603394,,0.2279719114303589,,
6,1899,,0.35769233107566833,,0.26528406143188477,,
6,1949,,0.792941153049469,,0.1365395188331604,,
6,1952,,,,,0.48379242420196533,0.24234682321548462
6,1952,0.44918614625930786,,0.2385244071483612,,,
7,1999,,0.664851188659668,,0.19123205542564392,,
7,2049,,0.5315538048744202,,0.26062262058258057,,
7,2099,,0.6117647290229797,,0.1953428089618683,,
7,2149,,0.3587121367454529,,0.23047500848770142,,
7,2199,,0.27681660652160645,,0.29458677768707275,,
7,2231,,,,,0.4725258946418762,0.23859307169914246
7,2231,0.4711339473724365,,0.23397096991539001,,,
8,2249,,0.5062500238418579,,0.22566020488739014,,
8,2299,,0.5803571343421936,,0.17378726601600647,,
8,2349,,0.5515350699424744,,0.21204617619514465,,
8,2399,,0.46524062752723694,,0.21909111738204956,,
8,2449,,0.603715181350708,,0.21844440698623657,,
8,2499,,0.41895604133605957,,0.21733075380325317,,
8,2510,,,,,0.4258008301258087,0.2566410303115845
8,2510,0.4626199007034302,,0.23145541548728943,,,
9,2549,,0.625,,0.197280615568161,,
9,2599,,0.5201680660247803,,0.18731555342674255,,
9,2649,,0.5861592292785645,,0.18623127043247223,,
9,2699,,0.28125,,0.261921763420105,,
9,2749,,0.32773110270500183,,0.24077841639518738,,
9,2789,,,,,0.4892224669456482,0.23536309599876404
9,2789,0.47706905007362366,,0.22917531430721283,,,
10,2799,,0.4575163424015045,,0.2379983514547348,,
10,2849,,0.5014005899429321,,0.21006491780281067,,
10,2899,,0.640625,,0.16949626803398132,,
10,2949,,0.43434345722198486,,0.22393324971199036,,
10,2999,,0.47159093618392944,,0.21110181510448456,,
10,3049,,0.4375,,0.22449859976768494,,
10,3068,,,,,0.4851115643978119,0.2394421547651291
10,3068,0.4722776412963867,,0.22724862396717072,,,
11,3099,,0.7038690447807312,,0.16581617295742035,,
11,3149,,0.5728716254234314,,0.1955561488866806,,
11,3199,,0.6230263710021973,,0.19404694437980652,,
11,3249,,0.47708335518836975,,0.2536333203315735,,
11,3299,,0.18214286863803864,,0.2571798264980316,,
11,3347,,,,,0.46854159235954285,0.2370482236146927
11,3347,0.47780001163482666,,0.2243385761976242,,,
12,3349,,0.24913495779037476,,0.29647794365882874,,
12,3399,,0.33475783467292786,,0.24853689968585968,,
12,3449,,0.5428571701049805,,0.19520461559295654,,
12,3499,,0.312834233045578,,0.3284246325492859,,
12,3549,,0.5595588684082031,,0.1713070422410965,,
12,3599,,0.45378151535987854,,0.2326139360666275,,
12,3626,,,,,0.4874468147754669,0.2351115494966507
12,3626,0.48014622926712036,,0.22355157136917114,,,
13,3649,,0.7764706015586853,,0.16625100374221802,,
13,3699,,0.5571428537368774,,0.18363285064697266,,
13,3749,,0.5370370745658875,,0.20321056246757507,,
13,3799,,0.4901961088180542,,0.18624141812324524,,
13,3849,,0.6517857313156128,,0.21147191524505615,,
13,3899,,0.4958791136741638,,0.2171546369791031,,
13,3905,,,,,0.49385693669319153,0.23305267095565796
13,3905,0.49072474241256714,,0.22038881480693817,,,
14,3949,,0.4588235318660736,,0.2144010066986084,,
14,3999,,0.3301587402820587,,0.19842460751533508,,
14,4049,,0.7440475821495056,,0.16787612438201904,,
14,4099,,0.6312499642372131,,0.15901926159858704,,
14,4149,,0.6777778267860413,,0.16379337012767792,,
14,4184,,,,,0.49737605452537537,0.23501060903072357
14,4184,0.4957360029220581,,0.21808363497257233,,,
15,4199,,0.41764703392982483,,0.2756446897983551,,
15,4249,,0.388552188873291,,0.28080064058303833,,
15,4299,,0.5857142806053162,,0.18561133742332458,,
15,4349,,0.4977375566959381,,0.2804204821586609,,
15,4399,,0.5277777910232544,,0.21917441487312317,,
15,4449,,0.40041279792785645,,0.2577071189880371,,
15,4463,,,,,0.5127909779548645,0.23045216500759125
15,4463,0.5060645341873169,,0.21573367714881897,,,
16,4499,,0.6306818127632141,,0.13613589107990265,,
16,4549,,0.5107843279838562,,0.2691832482814789,,
16,4599,,0.4571428894996643,,0.2254558950662613,,
16,4649,,0.6169590950012207,,0.1876530647277832,,
16,4699,,0.5555555820465088,,0.2071113884449005,,
16,4742,,,,,0.5259462594985962,0.22925394773483276
